StateAbbr,NAME,FIPS,2022Turnout,2022BlackProp,2022HispProp,2022Median Income,2022Age,2020Turnout,2020BlackProp,2020HispProp,2020Median Income,2020Age,2018Turnout,2018BlackProp,2018HispProp,2018Median Income,2018Age,2016Turnout,2016BlackProp,2016HispProp,2016Median Income,2016Age,2014Turnout,2014BlackProp,2014HispProp,2014Median Income,2014Age,2010Turnout,2010BlackProp,2010HispProp,2010Median Income,2010Age,NP2022,NP2018,NP2016,NP2014,2022Population,Affiliation2022,,,,,,,,,,,
AL,"Autauga County, Alabama",1001,0.398719481,0.195639965,0.03172172,33575,39,0.654853548,0.195294667,0.02877478,29611,38.6,0.476104009,0.191394928,0.027681159,28484,37.8,0.483264524,0.185216807,0.025722538,26836,37.8,0.322045185,0.186030905,0.025228526,26728,37.9,0.473110924,0.178873107,0.023196313,27176,36.2,0,0,0,1,58761,Republican,,,,,,,,,,,
AL,"Baldwin County, Alabama",1003,0.374071816,0.083304773,0.048025019,33712,43.7,0.645256152,0.08774148,0.045568031,30558,43.2,0.488897125,0.094970376,0.044943226,28336,42.8,0.512812234,0.093198336,0.043666984,25961,42.3,0.319633911,0.093653409,0.045134803,25349,41.8,0.406949199,0.094504269,0.03895535,24896,41,4,4,6,6,233420,Republican,,,,,,,,,,,
AL,"Barbour County, Alabama",1005,0.337477337,0.469027616,0.048317723,22385,40.6,0.53133347,0.476664269,0.044353872,19111,40.1,0.41788805,0.475758281,0.042898146,17876,39.9,0.41005252,0.479296611,0.043097618,17498,38.7,0.328109079,0.463328294,0.047310004,16750,38.3,0.390364097,0.46611791,0.045958338,14962,38,1,1,2,2,24877,Republican,,,,,,,,,,,
AL,"Bibb County, Alabama",1007,0.302026523,0.206867107,0.02921217,26218,40.3,0.445714611,0.225484938,0.026816841,22100,39.9,0.388128112,0.222754916,0.024281973,22376,39.9,0.389959634,0.212121212,0.022239943,21190,40.2,0.27664438,0.211760032,0.02008564,19545,40,0.293664582,0.152587351,0.005926581,21435,38.3,1,1,1,1,22251,Republican,,,,,,,,,,,
AL,"Blount County, Alabama",1009,0.369007574,0.012339828,0.096839718,28924,40.8,0.585066778,0.013990131,0.092840447,26998,41,0.454899477,0.014953595,0.091265504,26323,40.8,0.456990008,0.015683488,0.087272979,25143,40.8,0.331979864,0.015352589,0.084656085,23858,40.2,0.367719851,0.012629648,0.074895929,22352,38.3,1,1,1,1,59077,Republican,,,,,,,,,,,
AL,"Bullock County, Alabama",1011,0.335152977,0.689097599,0.08781952,22709,39.2,0.576588115,0.686129952,0.080998722,21481,39.7,0.448914899,0.76246136,0.004926584,20794,39.6,0.449298353,0.755022745,0.001231994,17657,39.2,0.393359035,0.714486112,0.040306743,19191,38.5,0.458858502,0.742470017,0.016478989,17013,38.7,1,1,1,1,10328,Democrat,,,,,,,,,,,
AL,"Butler County, Alabama",1013,0.402628517,0.445814235,0.016964333,24133,41.6,0.619297082,0.445858258,0.014701409,20952,41.2,0.528125,0.452184769,0.003345818,19495,40.7,0.525831335,0.437623274,0.012475345,19658,40.6,0.373667071,0.437314233,0.011353116,18353,40.5,0.44866484,0.429241445,0.002775784,17684,39.7,1,1,2,2,18981,Republican,,,,,,,,,,,
AL,"Calhoun County, Alabama",1015,0.33322981,0.220648749,0.040770648,27889,39.2,0.573886203,0.211591617,0.038539589,25191,39.5,0.417506589,0.205702966,0.036516708,23223,39.7,0.416931193,0.205301899,0.034362245,21288,39.1,0.298975327,0.208181865,0.034278839,20603,38.8,0.383008814,0.204252704,0.03034597,19564,38.1,1,3,3,3,116162,Republican,,,,,,,,,,,
AL,"Chambers County, Alabama",1017,0.335074682,0.407777649,0.032618745,24891,42.2,0.577784585,0.400035899,0.025219134,23436,41.9,0.427982137,0.39375037,0.022704429,22033,43,0.427093168,0.405050268,0.004350638,21105,43.1,0.31030051,0.402510927,0.004634654,19775,43.1,0.393585006,0.391191185,0.015153706,16833,40.1,2,2,2,2,34612,Republican,,,,,,,,,,,
AL,"Cherokee County, Alabama",1019,0.391893243,0.040209023,0.019107264,27816,46.8,0.58860239,0.048012291,0.016593048,24325,46.8,0.412990435,0.049007852,0.015394732,22604,45.9,0.41268835,0.046684944,0.015638877,21159,45.7,0.324931056,0.049266569,0.014399816,20755,45.2,0.351646729,0.046770428,0.012490272,20684,43.9,1,1,1,1,25069,Republican,,,,,,,,,,,
